vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
340e-3,0,0,10,14e-9,0,141.526e-18,301.345e-3,689.825e-6,-873.617e-15,-31.8978e-18,413.14e-18,154.07e-18,154.07e-18,
360e-3,0,0,10,14e-9,0,147.929e-18,301.345e-3,840.793e-6,-1.1357e-12,-35.4912e-18,433.133e-18,164.067e-18,164.067e-18,
380e-3,0,0,10,14e-9,0,153.946e-18,301.345e-3,999.801e-6,-1.4552e-12,-38.9192e-18,452.022e-18,173.511e-18,173.511e-18,
400e-3,0,0,10,14e-9,0,159.625e-18,301.345e-3,1.1645e-3,-1.8411e-12,-42.1917e-18,469.925e-18,182.462e-18,182.462e-18,
420e-3,0,0,10,14e-9,0,165.002e-18,301.345e-3,1.3331e-3,-2.3035e-12,-45.3156e-18,486.927e-18,190.963e-18,190.963e-18,
440e-3,0,0,10,14e-9,0,170.104e-18,301.345e-3,1.5039e-3,-2.8542e-12,-48.2942e-18,503.088e-18,199.044e-18,199.044e-18,
460e-3,0,0,10,14e-9,0,174.949e-18,301.345e-3,1.6754e-3,-3.5065e-12,-51.1292e-18,518.449e-18,206.724e-18,206.724e-18,
480e-3,0,0,10,14e-9,0,179.552e-18,301.345e-3,1.8466e-3,-4.2755e-12,-53.8215e-18,533.039e-18,214.02e-18,214.02e-18,
500e-3,0,0,10,14e-9,0,183.923e-18,301.345e-3,2.0166e-3,-5.1788e-12,-56.3719e-18,546.882e-18,220.941e-18,220.941e-18,
520e-3,0,0,10,14e-9,0,188.071e-18,301.345e-3,2.1846e-3,-6.2361e-12,-58.7816e-18,559.997e-18,227.498e-18,227.498e-18,
540e-3,0,0,10,14e-9,0,192.003e-18,301.345e-3,2.3501e-3,-7.4697e-12,-61.0527e-18,572.404e-18,233.702e-18,233.702e-18,
560e-3,0,0,10,14e-9,0,195.728e-18,301.345e-3,2.5126e-3,-8.9052e-12,-63.1878e-18,584.124e-18,239.562e-18,239.562e-18,
580e-3,0,0,10,14e-9,0,199.253e-18,301.345e-3,2.6719e-3,-10.5715e-12,-65.1904e-18,595.179e-18,245.089e-18,245.089e-18,
600e-3,0,0,10,14e-9,0,202.586e-18,301.345e-3,2.8277e-3,-12.5014e-12,-67.0648e-18,605.593e-18,250.296e-18,250.296e-18,
620e-3,0,0,10,14e-9,0,205.734e-18,301.345e-3,2.98e-3,-14.7321e-12,-68.8156e-18,615.391e-18,255.196e-18,255.196e-18,
640e-3,0,0,10,14e-9,0,208.706e-18,301.345e-3,3.1285e-3,-17.3055e-12,-70.4481e-18,624.601e-18,259.8e-18,259.8e-18,
660e-3,0,0,10,14e-9,0,211.51e-18,301.345e-3,3.2732e-3,-20.2693e-12,-71.9677e-18,633.248e-18,264.124e-18,264.124e-18,
680e-3,0,0,10,14e-9,0,214.154e-18,301.345e-3,3.4142e-3,-23.6773e-12,-73.38e-18,641.361e-18,268.18e-18,268.18e-18,
700e-3,0,0,10,14e-9,0,216.647e-18,301.345e-3,3.5514e-3,-27.5904e-12,-74.6909e-18,648.967e-18,271.984e-18,271.984e-18,
720e-3,0,0,10,14e-9,0,218.995e-18,301.345e-3,3.6849e-3,-32.0771e-12,-75.9062e-18,656.094e-18,275.547e-18,275.547e-18,
740e-3,0,0,10,14e-9,0,221.208e-18,301.345e-3,3.8148e-3,-37.2151e-12,-77.0315e-18,662.77e-18,278.885e-18,278.885e-18,
760e-3,0,0,10,14e-9,0,223.292e-18,301.345e-3,3.9411e-3,-43.0919e-12,-78.0724e-18,669.02e-18,282.01e-18,282.01e-18,
780e-3,0,0,10,14e-9,0,225.255e-18,301.345e-3,4.0639e-3,-49.8062e-12,-79.0344e-18,674.87e-18,284.935e-18,284.935e-18,
800e-3,0,0,10,14e-9,0,227.104e-18,301.345e-3,4.1833e-3,-57.4693e-12,-79.9227e-18,680.346e-18,287.673e-18,287.673e-18,
0,0,0,20,14e-9,0,145.596e-18,306.421e-3,252.004e-9,40.4475e-54,-26.4309e-21,408.296e-18,99.1478e-18,99.1478e-18,
20e-3,0,0,20,14e-9,0,148.34e-18,306.421e-3,463.076e-9,-3.5769e-15,-48.8149e-21,413.829e-18,101.914e-18,101.914e-18,
40e-3,0,0,20,14e-9,0,151.05e-18,306.421e-3,850.717e-9,-3.9915e-15,-90.1214e-21,419.33e-18,104.665e-18,104.665e-18,
60e-3,0,0,20,14e-9,0,153.722e-18,306.421e-3,1.5621e-6,-2.5858e-15,-166.247e-21,424.827e-18,107.413e-18,107.413e-18,
80e-3,0,0,20,14e-9,0,156.385e-18,306.421e-3,2.8659e-6,-6.5889e-15,-306.2e-21,430.432e-18,110.216e-18,110.216e-18,
100e-3,0,0,20,14e-9,0,159.118e-18,306.421e-3,5.2497e-6,-16.3863e-15,-562.32e-21,436.41e-18,113.205e-18,113.205e-18,
120e-3,0,0,20,14e-9,0,162.087e-18,306.421e-3,9.5890e-6,-30.9841e-15,-1.0271e-18,443.278e-18,116.639e-18,116.639e-18,
140e-3,0,0,20,14e-9,0,165.593e-18,306.421e-3,17.4265e-6,-51.2732e-15,-1.8583e-18,451.953e-18,120.976e-18,120.976e-18,
160e-3,0,0,20,14e-9,0,170.123e-18,306.421e-3,31.3899e-6,-78.9245e-15,-3.3068e-18,463.91e-18,126.955e-18,126.955e-18,
180e-3,0,0,20,14e-9,0,176.361e-18,306.421e-3,55.7034e-6,-116.732e-15,-5.7253e-18,481.222e-18,135.611e-18,135.611e-18,
200e-3,0,0,20,14e-9,0,185.055e-18,306.421e-3,96.5342e-6,-169.158e-15,-9.5057e-18,506.171e-18,148.086e-18,148.086e-18,
220e-3,0,0,20,14e-9,0,196.655e-18,306.421e-3,161.625e-6,-242.772e-15,-14.8993e-18,540.16e-18,165.08e-18,165.08e-18,
240e-3,0,0,20,14e-9,0,210.893e-18,306.421e-3,258.732e-6,-346.174e-15,-21.8e-18,582.436e-18,186.218e-18,186.218e-18,
260e-3,0,0,20,14e-9,0,226.759e-18,306.421e-3,393.352e-6,-489.278e-15,-29.724e-18,630.017e-18,210.008e-18,210.008e-18,
