vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
540e-3,0,0,20,14e-9,0,409.988e-18,358.331e-3,2.6652e-3,-15.7224e-12,-125.318e-18,1.2084e-15,496.238e-18,496.238e-18
560e-3,0,0,20,14e-9,0,420.033e-18,358.331e-3,2.9244e-3,-19.0406e-12,-131.17e-18,1.2402e-15,512.134e-18,512.134e-18
580e-3,0,0,20,14e-9,0,429.542e-18,358.331e-3,3.1802e-3,-22.9009e-12,-136.684e-18,1.2703e-15,527.157e-18,527.157e-18
600e-3,0,0,20,14e-9,0,438.536e-18,358.331e-3,3.4316e-3,-27.377e-12,-141.866e-18,1.2986e-15,541.333e-18,541.333e-18
620e-3,0,0,20,14e-9,0,447.036e-18,358.331e-3,3.6778e-3,-32.552e-12,-146.725e-18,1.3253e-15,554.692e-18,554.692e-18
640e-3,0,0,20,14e-9,0,455.063e-18,358.331e-3,3.9182e-3,-38.5191e-12,-151.27e-18,1.3505e-15,567.265e-18,567.265e-18
660e-3,0,0,20,14e-9,0,462.637e-18,358.331e-3,4.1523e-3,-45.3832e-12,-155.514e-18,1.3741e-15,579.082e-18,579.082e-18
680e-3,0,0,20,14e-9,0,469.778e-18,358.331e-3,4.38e-3,-53.2618e-12,-159.467e-18,1.3963e-15,590.176e-18,590.176e-18
700e-3,0,0,20,14e-9,0,476.506e-18,358.331e-3,4.6010e-3,-62.2872e-12,-163.144e-18,1.4171e-15,600.581e-18,600.581e-18
720e-3,0,0,20,14e-9,0,482.842e-18,358.331e-3,4.8154e-3,-72.6071e-12,-166.558e-18,1.4366e-15,610.331e-18,610.331e-18
740e-3,0,0,20,14e-9,0,488.806e-18,358.331e-3,5.0231e-3,-84.3874e-12,-169.723e-18,1.4549e-15,619.461e-18,619.461e-18
760e-3,0,0,20,14e-9,0,494.419e-18,358.331e-3,5.2243e-3,-97.8138e-12,-172.654e-18,1.4720e-15,628.004e-18,628.004e-18
