vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
40e-3,0,220e-3,6,14e-9,17.0355e-9,113.479e-18,-354.135e-3,767.785e-12,-514.564e-12,-2.8612e-21,126.266e-18,45.355e-18,53.5513e-18
60e-3,0,220e-3,6,14e-9,33.0285e-9,114.005e-18,-354.135e-3,1.4886e-9,-997.688e-12,-5.6026e-21,127.815e-18,45.8808e-18,54.5739e-18
80e-3,0,220e-3,6,14e-9,64.0278e-9,114.568e-18,-354.135e-3,2.8860e-9,-1.9343e-9,-10.9688e-21,129.438e-18,46.4437e-18,55.6339e-18
100e-3,0,220e-3,6,14e-9,124.091e-9,115.171e-18,-354.135e-3,5.5942e-9,-3.7497e-9,-21.4676e-21,131.136e-18,47.0467e-18,56.729e-18
120e-3,0,220e-3,6,14e-9,240.386e-9,115.818e-18,-354.135e-3,10.8402e-9,-7.2675e-9,-41.9883e-21,132.916e-18,47.6923e-18,57.8633e-18
140e-3,0,220e-3,6,14e-9,465.244e-9,116.51e-18,-354.135e-3,20.9924e-9,-14.0788e-9,-82.0203e-21,134.799e-18,48.3832e-18,59.0554e-18
160e-3,0,220e-3,6,14e-9,898.854e-9,117.25e-18,-354.135e-3,40.6037e-9,-27.2499e-9,-159.821e-21,136.835e-18,49.1215e-18,60.3532e-18
180e-3,0,220e-3,6,14e-9,1.7307e-6,118.042e-18,-354.135e-3,78.356e-9,-52.6537e-9,-309.932e-21,139.129e-18,49.9088e-18,61.8599e-18
200e-3,0,220e-3,6,14e-9,3.3117e-6,118.887e-18,-354.135e-3,150.557e-9,-101.415e-9,-595.598e-21,141.881e-18,50.746e-18,63.7751e-18
220e-3,0,220e-3,6,14e-9,6.2643e-6,119.788e-18,-354.135e-3,287.003e-9,-194.178e-9,-1.1256e-18,145.44e-18,51.6338e-18,66.4458e-18
240e-3,0,220e-3,6,14e-9,11.6132e-6,120.751e-18,-354.135e-3,539.55e-9,-367.856e-9,-2.0663e-18,150.324e-18,52.5733e-18,70.3906e-18
260e-3,0,220e-3,6,14e-9,20.8406e-6,121.782e-18,-354.135e-3,991.585e-9,-684.496e-9,-3.6206e-18,157.129e-18,53.5703e-18,76.1985e-18
280e-3,0,220e-3,6,14e-9,35.6833e-6,122.893e-18,-354.135e-3,1.7627e-6,-1.2389e-6,-5.9390e-18,166.21e-18,54.6405e-18,84.2093e-18
300e-3,0,220e-3,6,14e-9,57.5925e-6,124.1e-18,-354.135e-3,3.0027e-6,-2.1591e-6,-8.9951e-18,177.316e-18,55.8123e-18,94.1434e-18
320e-3,0,220e-3,6,14e-9,87.164e-6,125.417e-18,-354.135e-3,4.8759e-6,-3.594e-6,-12.5586e-18,189.611e-18,57.1195e-18,105.132e-18
340e-3,0,220e-3,6,14e-9,123.983e-6,126.854e-18,-354.135e-3,7.548e-6,-5.6941e-6,-16.3286e-18,202.164e-18,58.5897e-18,116.214e-18
360e-3,0,220e-3,6,14e-9,166.888e-6,128.415e-18,-354.135e-3,11.1823e-6,-8.5939e-6,-20.0923e-18,214.383e-18,60.2397e-18,126.783e-18
380e-3,0,220e-3,6,14e-9,214.31e-6,130.103e-18,-354.135e-3,15.9457e-6,-12.3998e-6,-23.7829e-18,226.109e-18,62.0835e-18,136.665e-18
400e-3,0,220e-3,6,14e-9,264.491e-6,131.93e-18,-354.135e-3,22.0209e-6,-17.1848e-6,-27.4476e-18,237.478e-18,64.1439e-18,145.974e-18
