vgs,vds,vsb,fins,length,id,gm,gds,cdd,cgg
0.32,0.08,0.0,2.0,1.0,7.571e-07,1.9367403975507718e-05,2.63e-06,1.9050846688099874e-17,6.152930099932674e-17
0.34,0.08,0.0,2.0,1.0,1.229e-06,2.8094123529633495e-05,4.753e-06,1.9926198875105298e-17,6.624028731484684e-17
0.36,0.08,0.0,2.0,1.0,1.888e-06,3.789281733510079e-05,8.269e-06,2.1103945453985324e-17,7.128549901085993e-17
0.38,0.08,0.0,2.0,1.0,2.747e-06,4.803516424363289e-05,1.37e-05,2.256817093043076e-17,7.652169663858328e-17
0.4,0.08,0.0,2.0,1.0,3.807e-06,5.7815924488565286e-05,2.145e-05,2.422338233858647e-17,8.180564074923422e-17
0.42,0.08,0.0,2.0,1.0,5.052e-06,6.644949451717897e-05,3.172e-05,2.595817121828813e-17,8.699409189402999e-17
0.44,0.08,0.0,2.0,1.0,6.457e-06,7.388413351683273e-05,4.445e-05,2.76770446036806e-17,9.19915571071155e-17
0.46,0.08,0.0,2.0,1.0,7.998e-06,7.991176700888001e-05,5.942e-05,2.9348171506145504e-17,9.6734374411254e-17
0.48,0.08,0.0,2.0,1.0,9.644e-06,8.451655396091942e-05,7.632e-05,3.092380544275527e-17,1.0123845930075463e-16
0.5,0.08,0.0,2.0,1.0,1.137e-05,8.781997306131363e-05,9.481e-05,3.240394641350989e-17,1.0548789628130822e-16
0.52,0.08,0.0,2.0,1.0,1.315e-05,9.01019505890242e-05,0.0001146,3.382042540702776e-17,1.095145163415332e-16
0.54,0.08,0.0,2.0,1.0,1.497e-05,9.177086185850797e-05,0.0001353,3.5141411434690495e-17,1.1331831948142948e-16
0.56,0.08,0.0,2.0,1.0,1.681e-05,9.181259797093585e-05,0.0001566,3.6398735485116463e-17,1.1691522119530633e-16
0.58,0.08,0.0,2.0,1.0,1.864e-05,9.147794465534556e-05,0.0001784,3.7576482063996495e-17,1.2032113697747288e-16
0.6,0.08,0.0,2.0,1.0,2.047e-05,9.127522260648026e-05,0.0002003,3.870648215994895e-17,1.2353606682792916e-16
0.62,0.08,0.0,2.0,1.0,2.228e-05,8.941956171393157e-05,0.0002223,3.977282027866465e-17,1.2659184173529356e-16
0.64,0.08,0.0,2.0,1.0,2.405e-05,8.804653053779552e-05,0.0002442,4.0791411914452775e-17,1.2945663071094768e-16
0.66,0.08,0.0,2.0,1.0,2.58e-05,8.639391533368702e-05,0.0002659,4.1746341573004145e-17,1.3214634924920073e-16
0.68,0.08,0.0,2.0,1.0,2.75e-05,8.387700652506017e-05,0.0002872,4.2653524748627957e-17,1.3469282833867105e-16
0.7,0.08,0.0,2.0,1.0,2.916e-05,8.20984593672777e-05,0.0003081,4.3512961441324186e-17,1.3708015248504946e-16
0.72,0.08,0.0,2.0,1.0,3.078e-05,7.972875520461845e-05,0.0003286,4.4324651651092857e-17,1.393242371826452e-16
0.74,0.08,0.0,2.0,1.0,3.235e-05,7.748651981423178e-05,0.0003485,4.508859537793395e-17,1.414250824314582e-16
0.76,0.08,0.0,2.0,1.0,3.388e-05,7.532516553844313e-05,0.000368,4.5820708116156666e-17,1.4338268823148851e-16
0.78,0.08,0.0,2.0,1.0,3.536e-05,7.271241723077508e-05,0.0003869,4.650507437145182e-17,1.452288855713545e-16
0.8,0.08,0.0,2.0,1.0,3.679e-05,7.037087494142012e-05,0.0004052,4.7141694143819403e-17,1.4696367445105616e-16
0.0,0.1,0.0,2.0,1.0,2.425e-11,9.05263649044901e-10,4.429e-11,1.3271930704433153e-17,4.0520848511196555e-17
0.02,0.1,0.0,2.0,1.0,4.743e-11,1.565437873304203e-09,8.646e-11,1.3521803965087427e-17,4.109380630632738e-17
0.04,0.1,0.0,2.0,1.0,9.277e-11,3.1169751543425926e-09,1.69e-10,1.3786001170619975e-17,4.1666764101458196e-17
